From Node ID, To Node ID, Edge Weight
5651,110,-1
10211,338,1
10211,110,-1
10211,112,-1
10211,336,-1
10211,417,-1
10211,307,-1
10211,107,-1
10211,415,-1
10211,303,-1
10211,299,-1
10211,300,-1
10211,389,1
10211,105,-1
6708,105,-1
6708,303,-1
6708,417,-1
6708,110,-1
6708,307,-1
6708,389,1
6708,300,-1
6708,299,-1
6708,336,-1
6708,338,-1
6708,107,-1
6708,112,-1
6708,415,-1
10156,303,-1
10156,389,1
10156,107,-1
10156,417,-1
10156,307,-1
10156,415,-1
10156,110,-1
10156,299,-1
10156,105,-1
10156,338,-1
10156,336,-1
10156,300,-1
10156,112,-1
2270,303,-1
2270,299,-1
2270,307,-1
2270,336,-1
2270,105,-1
2270,417,-1
2270,300,-1
2270,415,-1
2270,107,-1
2270,338,-1
2270,110,-1
2270,389,1
2270,112,-1
2301,415,1
2301,299,-1
2301,105,-1
2301,338,-1
2301,307,-1
2301,110,-1
2301,389,-1
2301,417,-1
2301,336,-1
2301,303,-1
2301,107,-1
2301,300,-1
2301,112,-1
2309,415,-1
2309,303,-1
2309,110,-1
2309,300,-1
2309,105,-1
2309,417,-1
2309,389,1
2309,112,-1
2309,307,-1
2309,107,-1
2309,338,-1
2309,299,-1
2309,336,-1
4058,307,-1
4058,336,-1
4058,112,-1
4058,415,-1
4058,338,1
4058,107,-1
4058,389,-1
4058,105,-1
4058,299,-1
4058,303,-1
4058,417,-1
4058,110,-1
4058,300,-1
2016,107,-1
2016,415,-1
2016,417,-1
2016,110,-1
2016,300,-1
2016,338,-1
2016,307,-1
2016,389,1
2016,299,-1
2016,112,-1
2016,303,-1
2016,336,-1
2016,105,-1
8017,107,-1
8017,110,-1
8017,303,-1
8017,417,-1
8017,389,1
8017,112,-1
8017,300,-1
8017,307,-1
8017,415,-1
8017,105,-1
8017,299,-1
8017,336,-1
8017,338,-1
10531,336,-1
10531,307,-1
10531,389,1
10531,112,-1
10531,415,-1
10531,299,-1
10531,417,-1
10531,300,-1
10531,110,-1
10531,303,-1
10531,338,-1
10531,105,-1
10531,107,-1
